collection_slug,identifier,event_type,order_hash,chain,protocol_address,closing_date,closing_date_iso,quantity,seller,buyer,payment_quantity,payment_token,payment_decimals,payment_symbol,payment_symbol_amount,transaction_hash,event_timestamp,event_timestamp_iso
pudgypenguins,152,sale,,ethereum,,1742489675,2025-03-20T16:54:35+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1ea27bce786a81022dfc156059771e8d3279a9a6,9660000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.66,0xd1943a65d9b431e5afa0454cfeea4b462c975f89ad9c245018bd72964cbb4531,1742489675,2025-03-20 16:54:35+00:00
pudgypenguins,537,sale,,ethereum,,1741011791,2025-03-03T14:23:11+00:00Z,1,0x516d8741f7a3ccf96f2c2e6516805913741beec3,0x8634059340b73ae0455dfbe6bf4c7eb127aa8492,10060000000000000000,0x0000000000000000000000000000000000000000,18,ETH,10.06,0x055c65e0fe6e6d463e277568a37f807530d906b6308b6aea325534fc1732aa7a,1741011791,2025-03-03 14:23:11+00:00
pudgypenguins,537,sale,,ethereum,,1741004015,2025-03-03T12:13:35+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x516d8741f7a3ccf96f2c2e6516805913741beec3,9860000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.86,0x1ff4d39bb81411404740e661c02cc9cb020e3710f9b242a031aa439425732c22,1741004015,2025-03-03 12:13:35+00:00
pudgypenguins,537,sale,,ethereum,,1740936887,2025-03-02T17:34:47+00:00Z,1,0xb34fcf951a78b05f11f372399f69c27b8c12a7b9,0x29469395eaf6f95920e59f858042f0e28d98a20b,9598800000000000000,0x0000000000000000000000000000000000000000,18,ETH,9.5988,0x2c540d2eef6d3447afc65519acce1bf0772e80e9792b8e63975281544514cc1f,1740936887,2025-03-02 17:34:47+00:00
pudgypenguins,583,sale,,ethereum,,1742530679,2025-03-21T04:17:59+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0xd43dfa9024096b0224adf6859e22fbc35ea2b21f,9480000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.48,0x7fa09bf41d251c8bd09a063538e5c951efa89c790dc75a1bc9f8123304c2b3e6,1742530679,2025-03-21 04:17:59+00:00
pudgypenguins,583,sale,,ethereum,,1742201411,2025-03-17T08:50:11+00:00Z,1,0x7b9c3a3bce44e4d29a95a36198ebd7bda8e239e7,0xa1c6b7d556bb56408bb3991d29a5e574e10dfe48,8730000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.73,0x78662fe602a909dc91884b6c51ee9a5736265dc4a8f74cd0feacde85ded9f7f1,1742201411,2025-03-17 08:50:11+00:00
pudgypenguins,583,sale,,ethereum,,1741699115,2025-03-11T13:18:35+00:00Z,1,0xabd0ba73f819a96cc9578ffbed621f890fb77208,0x7b9c3a3bce44e4d29a95a36198ebd7bda8e239e7,8788999990000000000,0x0000000000000000000000000000000000000000,18,ETH,8.78899999,0x9bb59f83c6784b646f28a921ca65e8b8254fe07a531d92e822cced179aa6194d,1741699115,2025-03-11 13:18:35+00:00
pudgypenguins,583,sale,0x4178b2734a78acddae4f5847db99512deb539cc318c2ca6147c6de36ec0b4be5,ethereum,0x0000000000000068f116a894984e2db1123eb395,1741633391,2025-03-10T19:03:11+00:00Z,1,0xe871af6576396c553e16c2e3a9fa130d36798cfa,0xabd0ba73f819a96cc9578ffbed621f890fb77208,8790000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.79,0x75c68ba2779b7bbc2b831c292d06d586e1295ef7213b5876e3f4023b1f183672,1741633391,2025-03-10 19:03:11+00:00
pudgypenguins,787,sale,,ethereum,,1743167447,2025-03-28T13:10:47+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x8a7d2a5fa5912e6feef47c8184d4e4ff56681f0c,9690000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.69,0x4b425628c947e20b3836d12fc57f11106fa78bfa6f7a976f5014ff6fd5ce5e8b,1743167447,2025-03-28 13:10:47+00:00
pudgypenguins,787,sale,,ethereum,,1740965771,2025-03-03T01:36:11+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x72795f977a732047635282191fb704fa21968abf,9900000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.9,0xe47a73f041fdf3f23eb07b4b9db6473178d37e7ddb577c5bac0fcd7c20ae9e91,1740965771,2025-03-03 01:36:11+00:00
pudgypenguins,1036,sale,,ethereum,,1741663187,2025-03-11T03:19:47+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x047b647f31d83d0c608c1571bb04a82f1d5962d4,8370000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.37,0xb2e738224b84d1531fec368eaf5ff685890eeaeb3529242abb95a104d56e4228,1741663187,2025-03-11 03:19:47+00:00
pudgypenguins,1036,sale,,ethereum,,1741653563,2025-03-11T00:39:23+00:00Z,1,0xaa4db8b2c85f1acc3ab33a678242b52a9d55a9e0,0x515a6c0e816f1096a5eaaf2b0516b9738c137c8c,8300000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.3,0x8fc56f3e9e5f4dc3b350185783bef32b0766ac438fc9f57c39141bc352acd1fc,1741653563,2025-03-11 00:39:23+00:00
pudgypenguins,1055,sale,,ethereum,,1743154247,2025-03-28T09:30:47+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1992a41693310eb9434b5e3ecb564f4739fcc677,9820000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.82,0xf02b86042879cb4a1f414edf64a69de30ef4816d7c030b8e143233ad2f3e25c3,1743154247,2025-03-28 09:30:47+00:00
pudgypenguins,1115,sale,,ethereum,,1741574771,2025-03-10T02:46:11+00:00Z,1,0x1ea27bce786a81022dfc156059771e8d3279a9a6,0x047b647f31d83d0c608c1571bb04a82f1d5962d4,9100000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.1,0x071ae8e74cdd6017df93204ce59c810b20eb996222b4335c485439883b4ae7d1,1741574771,2025-03-10 02:46:11+00:00
pudgypenguins,1115,sale,,ethereum,,1741574279,2025-03-10T02:37:59+00:00Z,1,0xc8787ad282dff186fc24622f1378a8ff956a328a,0x1ea27bce786a81022dfc156059771e8d3279a9a6,9110000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.11,0x2d8786cf2d185e9f97a4140c131fdeba5c67f41a7122ecc45ab9362e1d617d68,1741574279,2025-03-10 02:37:59+00:00
pudgypenguins,1349,sale,,ethereum,,1742484959,2025-03-20T15:35:59+00:00Z,1,0x1fee3385b22d69e93209db2042be58fcac57b59b,0x29469395eaf6f95920e59f858042f0e28d98a20b,10159000000000000000,0x0000000000000000000000000000000000000000,18,ETH,10.159,0xbbeb8dd259423002878e694b3bea4a46bc66fc80a3c483335690e0f1eb2bed38,1742484959,2025-03-20 15:35:59+00:00
