collection_slug,identifier,event_type,order_hash,chain,protocol_address,closing_date,closing_date_iso,quantity,seller,buyer,payment_quantity,payment_token,payment_decimals,payment_symbol,payment_symbol_amount,transaction_hash,event_timestamp,event_timestamp_iso
pudgypenguins,152,sale,,ethereum,,1742489675,2025-03-20T16:54:35+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1ea27bce786a81022dfc156059771e8d3279a9a6,9660000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.66,0xd1943a65d9b431e5afa0454cfeea4b462c975f89ad9c245018bd72964cbb4531,1742489675,2025-03-20 16:54:35+00:00
pudgypenguins,152,sale,,ethereum,,1740724211,2025-02-28T06:30:11+00:00Z,1,0x1992a41693310eb9434b5e3ecb564f4739fcc677,0x29469395eaf6f95920e59f858042f0e28d98a20b,8937856785714288000,0x0000000000000000000000000000000000000000,18,ETH,8.937856785714288,0x5322b7eeb19dc891b7e1a9d44d2717b65c5e02a5277b9fd1137cdcaad4f7e2d9,1740724211,2025-02-28 06:30:11+00:00
pudgypenguins,152,sale,,ethereum,,1740722015,2025-02-28T05:53:35+00:00Z,1,0x6f0037ffe1506f82fc8064bc8f6c2dc22ebb711f,0x1992a41693310eb9434b5e3ecb564f4739fcc677,8810000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.81,0x48dc5e93ed459f70ac763659a1080b08f0d7da8ee7d8dbb1de4aea2e8aacafa8,1740722015,2025-02-28 05:53:35+00:00
pudgypenguins,152,sale,,ethereum,,1738256831,2025-01-30T17:07:11+00:00Z,1,0x5083980af29001f0ea9898da4911a0e80833f6a2,0xf7006abe701461e1f3f81e404f21a556bb93f76a,11010000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,11.01,0xb1d36998247dac88fe7b2d5339fe6566a1dfe3f1dda1d0a0e42e8fc346131404,1738256831,2025-01-30 17:07:11+00:00
pudgypenguins,152,sale,,ethereum,,1738029935,2025-01-28T02:05:35+00:00Z,1,0x472bb3ab8ae9df4fcd6adcf20cf25054b0cbe031,0x29469395eaf6f95920e59f858042f0e28d98a20b,12400000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,12.4,0xfe725306dc23a95db8e1255d8efac1776e4d4eae731de09ff9d37b68920afd53,1738029935,2025-01-28 02:05:35+00:00
pudgypenguins,152,sale,,ethereum,,1735262783,2024-12-27T01:26:23+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb65b4fd4dcb639b400fbd3d0ee5d272b5e49c2a8,22920000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,22.92,0xacdf21530c3d28bcfe5a529fd57e5732a6fba52eea1debeb91477ba8594ed76e,1735262783,2024-12-27 01:26:23+00:00
pudgypenguins,152,sale,,ethereum,,1735152191,2024-12-25T18:43:11+00:00Z,1,0x3ed0b065e6fd906ca20e4ebe080ea72c4325339a,0x29469395eaf6f95920e59f858042f0e28d98a20b,21940000000000000000,0x0000000000000000000000000000000000000000,18,ETH,21.94,0x279ef3d3f57e5125ae66ca366222c14ddd9feb0d0c9feaa487b36af5b0b55294,1735152191,2024-12-25 18:43:11+00:00
pudgypenguins,152,sale,0xcfa2d72d973bb2b26fcf19b12a4e85415f9266ac619fd880de7692de7106ce09,ethereum,0x0000000000000068f116a894984e2db1123eb395,1735148051,2024-12-25T17:34:11+00:00Z,1,0x75750d0bba74ecb961fa588873a0ef69c54361c1,0x3ed0b065e6fd906ca20e4ebe080ea72c4325339a,39000000000000000000,0x0000000000000000000000000000000000000000,18,ETH,39.0,0x2f9625bd209eacbd3087dd3d2925499fad3bf706676b80645984e9d1ccb9125b,1735148051,2024-12-25 17:34:11+00:00
pudgypenguins,537,sale,,ethereum,,1741011791,2025-03-03T14:23:11+00:00Z,1,0x516d8741f7a3ccf96f2c2e6516805913741beec3,0x8634059340b73ae0455dfbe6bf4c7eb127aa8492,10060000000000000000,0x0000000000000000000000000000000000000000,18,ETH,10.06,0x055c65e0fe6e6d463e277568a37f807530d906b6308b6aea325534fc1732aa7a,1741011791,2025-03-03 14:23:11+00:00
pudgypenguins,537,sale,,ethereum,,1741004015,2025-03-03T12:13:35+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x516d8741f7a3ccf96f2c2e6516805913741beec3,9860000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.86,0x1ff4d39bb81411404740e661c02cc9cb020e3710f9b242a031aa439425732c22,1741004015,2025-03-03 12:13:35+00:00
pudgypenguins,537,sale,,ethereum,,1740936887,2025-03-02T17:34:47+00:00Z,1,0xb34fcf951a78b05f11f372399f69c27b8c12a7b9,0x29469395eaf6f95920e59f858042f0e28d98a20b,9598800000000000000,0x0000000000000000000000000000000000000000,18,ETH,9.5988,0x2c540d2eef6d3447afc65519acce1bf0772e80e9792b8e63975281544514cc1f,1740936887,2025-03-02 17:34:47+00:00
pudgypenguins,537,sale,,ethereum,,1739773871,2025-02-17T06:31:11+00:00Z,1,0xff53e1da7b67ae676d7742f858aab5bd4bc937f6,0xb34fcf951a78b05f11f372399f69c27b8c12a7b9,9189900000000000000,0x0000000000000000000000000000000000000000,18,ETH,9.1899,0xfc6336c5e47d5c8987cdeb74caa309cf5512f9f8381487c8085e13cdd0552ccc,1739773871,2025-02-17 06:31:11+00:00
pudgypenguins,537,sale,,ethereum,,1739722619,2025-02-16T16:16:59+00:00Z,1,0x79ed349db9c9cc26af8d05b641e93eaad621941b,0xff53e1da7b67ae676d7742f858aab5bd4bc937f6,9140000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.14,0xb8dabee9bd5f5d47070d1a573f82482657962dcdeb044ae32d9e672ce536e4f6,1739722619,2025-02-16 16:16:59+00:00
pudgypenguins,537,sale,,ethereum,,1738630091,2025-02-04T00:48:11+00:00Z,1,0xe9bab3816a139827fe218d58699097b359680380,0x79ed349db9c9cc26af8d05b641e93eaad621941b,11450000000000000000,0x0000000000000000000000000000000000000000,18,ETH,11.45,0x41fccd9fd03ebb6df45c88066ece7469becc6882eaeb9d642bf039b0bce3eba9,1738630091,2025-02-04 00:48:11+00:00
pudgypenguins,537,sale,,ethereum,,1737680915,2025-01-24T01:08:35+00:00Z,1,0xdb8209e646e527ee9af6e9c0c2236f595f999645,0x515a6c0e816f1096a5eaaf2b0516b9738c137c8c,18500000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,18.5,0x07590ea6c720049f4fd6b6338a99f3d2dbfd020f0fa9539b4c0c22077c1d220d,1737680915,2025-01-24 01:08:35+00:00
pudgypenguins,537,sale,,ethereum,,1734414119,2024-12-17T05:41:59+00:00Z,1,0x201eec84a2992685b689849844b3bcfba3e56e85,0x29469395eaf6f95920e59f858042f0e28d98a20b,36000000000000000000,0x0000000000000000000000000000000000000000,18,ETH,36.0,0x17276111794fe248586c98552c2561997afd7b79ef21795040c583cdb22f9f8f,1734414119,2024-12-17 05:41:59+00:00
pudgypenguins,583,sale,,ethereum,,1742530679,2025-03-21T04:17:59+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0xd43dfa9024096b0224adf6859e22fbc35ea2b21f,9480000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.48,0x7fa09bf41d251c8bd09a063538e5c951efa89c790dc75a1bc9f8123304c2b3e6,1742530679,2025-03-21 04:17:59+00:00
pudgypenguins,583,sale,,ethereum,,1742201411,2025-03-17T08:50:11+00:00Z,1,0x7b9c3a3bce44e4d29a95a36198ebd7bda8e239e7,0xa1c6b7d556bb56408bb3991d29a5e574e10dfe48,8730000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.73,0x78662fe602a909dc91884b6c51ee9a5736265dc4a8f74cd0feacde85ded9f7f1,1742201411,2025-03-17 08:50:11+00:00
pudgypenguins,583,sale,,ethereum,,1741699115,2025-03-11T13:18:35+00:00Z,1,0xabd0ba73f819a96cc9578ffbed621f890fb77208,0x7b9c3a3bce44e4d29a95a36198ebd7bda8e239e7,8788999990000000000,0x0000000000000000000000000000000000000000,18,ETH,8.78899999,0x9bb59f83c6784b646f28a921ca65e8b8254fe07a531d92e822cced179aa6194d,1741699115,2025-03-11 13:18:35+00:00
pudgypenguins,583,sale,0x4178b2734a78acddae4f5847db99512deb539cc318c2ca6147c6de36ec0b4be5,ethereum,0x0000000000000068f116a894984e2db1123eb395,1741633391,2025-03-10T19:03:11+00:00Z,1,0xe871af6576396c553e16c2e3a9fa130d36798cfa,0xabd0ba73f819a96cc9578ffbed621f890fb77208,8790000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.79,0x75c68ba2779b7bbc2b831c292d06d586e1295ef7213b5876e3f4023b1f183672,1741633391,2025-03-10 19:03:11+00:00
pudgypenguins,583,sale,,ethereum,,1739970299,2025-02-19T13:04:59+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1992a41693310eb9434b5e3ecb564f4739fcc677,8560000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.56,0x696aa0d1d21fc11eea1313a714249d8a4ac9f31aa94822231371d54800ad1621,1739970299,2025-02-19 13:04:59+00:00
pudgypenguins,583,sale,,ethereum,,1739897375,2025-02-18T16:49:35+00:00Z,1,0x26ff91088557019b7af55f3c9241ef5dfcf72e8c,0x1ea27bce786a81022dfc156059771e8d3279a9a6,8570000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.57,0xf44263b965d6f2154d8326b55dcfe204d6a0a29f9cf2339adb4677afa04a565f,1739897375,2025-02-18 16:49:35+00:00
pudgypenguins,583,sale,,ethereum,,1738268567,2025-01-30T20:22:47+00:00Z,1,0xa7b5ca022774bd02842932e4358ddcbea0ccaade,0x26ff91088557019b7af55f3c9241ef5dfcf72e8c,10920000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,10.92,0x6e82859d0b82a3a13a64247c6846e3af3b898a46392df03a16dad55b0c78d0a1,1738268567,2025-01-30 20:22:47+00:00
pudgypenguins,583,sale,,ethereum,,1718875007,2024-06-20T09:16:47+00:00Z,1,0x6eac30e598697e49d782c491df9516917ef33014,0xa7b5ca022774bd02842932e4358ddcbea0ccaade,8091000000000000000,0x0000000000000000000000000000000000000000,18,ETH,8.091,0xa1684c52bf485026f8921d26bb1d833dd82eed59ffe597941c04f76c5a896f42,1718875007,2024-06-20 09:16:47+00:00
pudgypenguins,583,sale,,ethereum,,1718725523,2024-06-18T15:45:23+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x6eac30e598697e49d782c491df9516917ef33014,8050000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.05,0xb1dfa9b8153aabdbcb3fb0f438135d8c26734f2f9b1461f4ab76cdb4721b8511,1718725523,2024-06-18 15:45:23+00:00
pudgypenguins,583,sale,,ethereum,,1718709551,2024-06-18T11:19:11+00:00Z,1,0xe03a97e261ca9892ce50cc610d2dc6787f845010,0x0b0a206794611892587e3b0df04a64239e2a3490,8110000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.11,0xb2fc7e4c6eb5a2d9e0b6332e30b154df2f2dc6e128e53dc059f93c4587fb4580,1718709551,2024-06-18 11:19:11+00:00
pudgypenguins,787,sale,,ethereum,,1743167447,2025-03-28T13:10:47+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x8a7d2a5fa5912e6feef47c8184d4e4ff56681f0c,9690000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.69,0x4b425628c947e20b3836d12fc57f11106fa78bfa6f7a976f5014ff6fd5ce5e8b,1743167447,2025-03-28 13:10:47+00:00
